INFO 2026-05-31 07:42:47,496 autoreload Watching for file changes with StatReloader
INFO 2026-05-31 07:43:22,158 autoreload /Users/yevhen21/PycharmProjects/Hillel-Django-HW/Django-project_Bookstore/bookstore_project/settings.py changed, reloading.
INFO 2026-05-31 07:43:22,380 autoreload Watching for file changes with StatReloader
INFO 2026-05-31 07:51:23,224 autoreload Watching for file changes with StatReloader
INFO 2026-05-31 07:51:34,777 autoreload Watching for file changes with StatReloader
INFO 2026-05-31 07:51:36,598 middleware Запит до / зайняв 0.0424 секунд.
INFO 2026-05-31 07:51:36,609 log "GET / HTTP/1.1" 200 21950
INFO 2026-05-31 07:51:36,624 log "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 0
INFO 2026-05-31 07:51:36,624 log "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 0
INFO 2026-05-31 07:51:36,631 log "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2026-05-31 07:51:36,632 log "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 0
INFO 2026-05-31 07:51:37,294 middleware Запит до / зайняв 0.0061 секунд.
INFO 2026-05-31 07:51:37,304 log "GET / HTTP/1.1" 200 21950
INFO 2026-05-31 07:51:37,929 middleware Запит до / зайняв 0.0078 секунд.
INFO 2026-05-31 07:51:37,942 log "GET / HTTP/1.1" 200 21950
INFO 2026-05-31 07:51:38,563 middleware Запит до /catalog/ зайняв 0.0092 секунд.
INFO 2026-05-31 07:51:38,574 log "GET /catalog/ HTTP/1.1" 200 20670
INFO 2026-05-31 07:51:39,462 middleware Запит до / зайняв 0.0061 секунд.
INFO 2026-05-31 07:51:39,473 log "GET / HTTP/1.1" 200 21950
INFO 2026-05-31 07:51:40,226 middleware Запит до /catalog/ зайняв 0.0050 секунд.
INFO 2026-05-31 07:51:40,236 log "GET /catalog/ HTTP/1.1" 200 20670
INFO 2026-05-31 07:51:45,621 middleware Запит до /1/ зайняв 0.0078 секунд.
INFO 2026-05-31 07:51:45,632 log "GET /1/ HTTP/1.1" 200 18141
INFO 2026-05-31 07:51:47,902 middleware Запит до /catalog/ зайняв 0.0056 секунд.
